group,names,scores,logfoldchanges,pvals,pvals_adj
0,LDHB,24.105263,,2.2014028065518144e-128,2.7209338688980423e-124
0,RPS12,23.67158,,7.077250521369549e-124,4.373740822206381e-120
0,RPS25,22.1091,,2.5837162427378878e-108,6.3869465520480584e-105
0,RPS27,20.32866,,7.173757568039502e-92,1.4777940590161376e-88
0,RPS14,20.187317,,1.26555145188325e-90,1.9552769931596212e-87
0,RPS3,20.013514,,4.1997617090492736e-89,5.7676727470943356e-86
0,RPS6,19.98872,,6.90438027480282e-89,8.533814019656285e-86
0,TPT1,19.93306,,2.103032472539155e-88,2.363043760053087e-85
0,CD3D,19.653263,,5.421280681887836e-86,5.583919102344472e-83
0,RPL32,19.606714,,1.3551032425806237e-85,1.2883904675612698e-82
0,RPS15A,18.968359,,3.114771160701525e-80,2.406160721641928e-77
0,RPL30,18.95412,,4.0832242080766154e-80,2.9687441889309984e-77
0,RPL31,18.90513,,1.0348166316168459e-79,7.105740870435675e-77
0,RPLP2,18.392138,,1.5187148925331884e-75,9.385658035855103e-73
0,RPL3,17.851463,,2.8156002551968065e-71,1.6571818644872633e-68
0,RPL27A,17.698223,,4.327499813142673e-70,2.431268076838338e-67
0,EEF1A1,17.400354,,8.199469425796995e-68,4.364511975047969e-65
0,RPS29,17.398462,,8.474780534073726e-68,4.364511975047969e-65
0,RPL13,17.365803,,1.4979064100572186e-67,7.405649291322889e-65
0,RPS28,17.28276,,6.343858793928461e-67,3.015772872805991e-64
0,RPS27A,17.25229,,1.0754919851149701e-66,4.817592242381473e-64
0,RPS18,17.251444,,1.0913639384035698e-66,4.817592242381473e-64
0,RPL9,16.830954,,1.4475287957735036e-63,6.169467557158795e-61
0,RPL11,16.69454,,1.4362192710632659e-62,5.726345222690957e-60
0,RPS20,16.611298,,5.773039454252454e-62,2.22983648920501e-59
0,RPL35A,16.591185,,8.071266700972104e-62,3.023056255273188e-59
0,RPL13A,16.349424,,4.391079414167036e-60,1.596286516444252e-57
0,RPS13,16.028456,,8.086834964179752e-58,2.855808004493192e-55
0,RPL21,15.99923,,1.2936356265517162e-57,4.441482317827559e-55
0,RPL36,15.989373,,1.5154820423768477e-57,5.062529201021037e-55
0,RPL23A,15.897269,,6.618751807667588e-57,2.152836114283458e-54
0,JUNB,15.745721,,7.3488465764787285e-56,2.3290190688532588e-53
0,LTB,15.726155,,1.0010792417997234e-55,3.0933348571611455e-53
0,RPS3A,15.704399,,1.4110868183517534e-55,4.25391050605553e-53
0,CD3E,15.694641,,1.6457120393661168e-55,4.843095430134572e-53
0,RPS4X,15.275792,,1.1087179432425692e-52,3.1144894951086713e-50
0,RPL10,15.028506,,4.776556604100015e-51,1.3119608805928041e-48
0,RPL5,15.016309,,5.741733355602825e-51,1.542778788592411e-48
0,RPLP0,14.992561,,8.212465526054407e-51,2.159703700043244e-48
0,RPS16,14.98345,,9.419750898923204e-51,2.425585856472725e-48
0,IL7R,14.95094,,1.5356635755377652e-50,3.873633019111588e-48
0,NPM1,14.786448,,1.7916385162579053e-49,4.428930412189542e-47
0,RPL14,14.733376,,3.935460157983767e-49,9.537703441701835e-47
0,RPSA,14.282465,,2.814654751481034e-46,6.325296859691923e-44
0,TMEM66,14.21854,,7.030417867278647e-46,1.5517136578493585e-43
0,RPS23,14.04648,,8.09588000240407e-45,1.7555276636791985e-42
0,MALAT1,14.03259,,9.848779622700132e-45,2.098808898906442e-42
0,NOSIP,14.006502,,1.4223973479188678e-44,2.9798019017418993e-42
0,IL32,13.932122,,4.041651279217591e-44,8.325801635188238e-42
0,RPS10,13.889505,,7.333983739142582e-44,1.4860334264885625e-41
0,RPS15,13.663279,,1.6823510616815904e-42,3.300612559108644e-40
0,RPL19,13.5653,,6.431589946180436e-42,1.2421008083560967e-39
0,RPL36A,13.42361,,4.3976085364617254e-41,8.362221770871835e-39
0,RPL10A,12.950445,,2.335965032849975e-38,4.309332508362044e-36
0,RPS19,12.214162,,2.611790628750704e-34,4.4835739126887086e-32
0,RPS2,12.041007,,2.1629980888730278e-33,3.662281695680907e-31
0,RPL18,11.825932,,2.867034437966666e-32,4.724872753769066e-30
0,RPL38,11.645409,,2.4215899910434517e-31,3.8871236739346837e-29
0,RPL22,11.417738,,3.4099511666879285e-30,5.268374552532849e-28
0,RPS5,11.383087,,5.0770352944563905e-30,7.652701980424511e-28
